label,n,yield,wr,avg_odds,avg_edge,p_pos,max_dd,avg_sharp_soft
UNDER 1.5,818,-4.14,46.2,32.7,8.0,0.125,51.9,-5.1
UNDER 2.5,844,-5.58,51.2,-58.6,8.6,0.049,53.8,-5.9
UNDER 3.5,189,5.34,61.9,-127.1,10.0,0.787,10.0,-7.8
UNDER 4.5,13,29.26,76.9,-154.9,15.5,0.934,1.9,-17.8
OVER 1.5,732,-5.02,53.8,-97.0,7.3,0.063,38.6,-6.5
OVER 2.5,362,-3.28,46.7,38.2,7.5,0.29,23.8,-6.2
OVER 3.5,108,-5.35,43.5,83.6,10.6,0.284,16.2,-3.4
OVER 4.5,5,42.0,60.0,86.6,6.8,0.0,2.0,-26.9
Odds: Plus money,1287,-1.44,44.0,124.9,8.6,0.336,41.3,
Odds: -101 to -120,514,-3.79,50.6,-111.1,8.5,0.193,22.6,
Odds: -121 to -140,394,-9.75,51.0,-129.8,8.0,0.012,44.5,
Odds: -141 and worse,876,-4.9,59.7,-170.0,7.4,0.031,54.3,
