label,n,yield,wr,avg_odds,avg_edge,p_pos,max_dd,note
A: Sharp-soft under spread >=2%,1531,-5.86,48.7,-21.8,8.4,0.013,99.1,
A: Sharp-soft under spread >=4%,500,-10.19,50.0,-84.0,8.5,0.004,61.6,
A: Sharp-soft under spread >=6%,19,19.01,63.2,-34.8,11.7,0.805,2.9,
A: Sharp-soft under spread >=8%,3,0.0,0.0,,,0.0,0.0,
B: Sharp-soft over spread >=2%,0,0.0,0.0,,,0.0,0.0,
B: Sharp-soft over spread >=4%,0,0.0,0.0,,,0.0,0.0,
B: Sharp-soft over spread >=6%,0,0.0,0.0,,,0.0,0.0,
C: All soft-book unders (no model),1636,-5.18,49.0,-19.9,8.5,0.014,94.3,
D: Soft unders + sharp confirms,931,-3.64,44.7,73.9,9.0,0.15,39.9,
E: Production filter (model),1158,-1.38,50.4,-17.8,10.4,0.313,41.5,
F: Random matched unders (500x),1158,-5.3,0.0,,,0.024,0.0,prod yield=-1.4% vs random=-5.3%
